Name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,Status,Finish,Maybeboard,Image URL,Image Back URL,Tags,Notes,MTGO ID
"Cryptic Command",4,"Instant",U,"lrw","56",rare,u,Not Owned,Non-foil,false,,,"New","",28499,
"Fact or Fiction",4,"Instant",U,"inv","57",uncommon,u,Not Owned,Non-foil,false,,,"New","",14505,
"Gifts Ungiven",4,"Instant",U,"chk","62",rare,u,Not Owned,Non-foil,false,,,"New","",21335,
"Turnabout",4,"Instant",U,"usg","105",uncommon,u,Not Owned,Non-foil,false,,,"New","",12103,
"Force of Will",5,"Instant",U,"all","28",uncommon,u,Not Owned,Non-foil,false,,,"New","",,
"Gush",5,"Instant",U,"mmq","82",common,u,Owned,Non-foil,false,,,"","",13659,
"Mystic Confluence",5,"Instant",U,"c15","14",rare,u,Not Owned,Non-foil,false,,,"New","",,
"Dig Through Time",8,"Instant",U,"ktk","36",rare,u,Not Owned,Non-foil,false,,,"New","",54316,
"Ancestral Vision",1,"Sorcery",U,"tsp","48",rare,u,Not Owned,Non-foil,false,,,"New","",25609,
"Ponder",1,"Sorcery",U,"lrw","79",common,u,Not Owned,Non-foil,false,,,"New","",28339,
"Preordain",1,"Sorcery",U,"m11","70",common,u,Not Owned,Non-foil,false,,,"New","",37388,
"Chart a Course",2,"Sorcery",U,"xln","48",uncommon,u,Owned,Non-foil,false,,,"","",65108,
"Time Walk",2,"Sorcery",U,"leb","84",rare,u,Not Owned,Non-foil,false,,,"New","",,
"Show and Tell",3,"Sorcery",U,"usg","96",rare,u,Not Owned,Non-foil,false,,,"New","",12139,
"Timetwister",3,"Sorcery",U,"leb","85",rare,u,Not Owned,Non-foil,false,,,"New","",,
"Tinker",3,"Sorcery",U,"ulg","45",uncommon,u,Not Owned,Non-foil,false,,,"New","",12623,
"Bribery",5,"Sorcery",U,"mmq","62",rare,u,Not Owned,Non-foil,false,,,"New","",13563,
"Time Warp",5,"Sorcery",U,"tmp","97",rare,u,Owned,Non-foil,false,,,"","",9895,
"Mind's Desire",6,"Sorcery",U,"scg","41",rare,u,Not Owned,Non-foil,false,,,"New","",18890,
"Time Spiral",6,"Sorcery",U,"usg","103",rare,u,Not Owned,Non-foil,false,,,"New","",12385,
"Upheaval",6,"Sorcery",U,"ody","113",rare,u,Not Owned,Non-foil,false,,,"New","",16811,
"Treasure Cruise",8,"Sorcery",U,"ktk","59",common,u,Owned,Non-foil,false,,,"","",54300,
"Opposition",4,"Enchantment",U,"uds","40",rare,u,Not Owned,Non-foil,false,,,"New","",12821,
"Treachery",5,"Enchantment - Aura",U,"uds","50",rare,u,Not Owned,Non-foil,false,,,"New","",13039,
"Shark Typhoon",6,"Enchantment",U,"iko","67",rare,u,Owned,Non-foil,false,,,"","",80143,
"Academy Ruins",0,"Land",U,"tsp","269",rare,Blue,Not Owned,Non-foil,false,,,"New","",25739,
"Shelldock Isle",0,"Land",U,"lrw","272",rare,Blue,Not Owned,Non-foil,false,,,"New","",28707,
"Tolarian Academy",0,"Land",U,"usg","330",rare,Blue,Not Owned,Non-foil,false,,,"New","",11931,
"Putrid Imp",1,"Creature - Zombie Imp",B,"tor","77",common,b,Not Owned,Non-foil,false,,,"New","",17167,
"Viscera Seer",1,"Creature - Vampire Wizard",B,"m11","120",common,b,Owned,Non-foil,false,,,"","",37492,
"Bloodghast",2,"Creature - Vampire Spirit",B,"zen","83",rare,b,Not Owned,Non-foil,false,,,"New","",34688,
"Brain Maggot",2,"Enchantment Creature - Insect",B,"jou","62",uncommon,b,Owned,Non-foil,false,,,"","",52278,
"Dark Confidant",2,"Creature - Human Wizard",B,"rav","81",rare,b,Not Owned,Non-foil,false,,,"New","",23084,
"Kitesail Freebooter",2,"Creature - Human Pirate",B,"xln","110",uncommon,b,Not Owned,Non-foil,false,,,"New","",65236,
"Mesmeric Fiend",2,"Creature - Nightmare Horror",B,"tor","69",common,b,Owned,Non-foil,false,,,"","",17171,
"Oona's Prowler",2,"Creature - Faerie Rogue",B,"lrw","133",rare,b,Not Owned,Non-foil,false,,,"New","",28739,
"Pack Rat",2,"Creature - Rat",B,"rtr","73",rare,b,Not Owned,Non-foil,false,,,"New","",46737,
"Vampire Hexmage",2,"Creature - Vampire Shaman",B,"zen","114",uncommon,b,Owned,Non-foil,false,,,"","",34690,
"Bone Shredder",3,"Creature - Minion",B,"ulg","49",uncommon,b,Owned,Non-foil,false,,,"","",12641,
"Hypnotic Specter",3,"Creature - Specter",B,"leb","113",uncommon,b,Owned,Non-foil,false,,,"","",,
"Murderous Rider",3,"Creature - Zombie Knight",B,"eld","97",rare,b,Owned,Non-foil,false,,,"","",78308,
"Ophiomancer",3,"Creature - Human Shaman",B,"c13","84",rare,b,Not Owned,Non-foil,false,,,"New","",51344,
"Rotting Regisaur",3,"Creature - Zombie Dinosaur",B,"m20","111",rare,b,Not Owned,Non-foil,false,,,"New","",73121,
"Woe Strider",3,"Creature - Horror",B,"thb","123",rare,b,Owned,Non-foil,false,,,"","",79370,
"Braids, Cabal Minion",4,"Legendary Creature - Human Minion",B,"ody","117",rare,b,Not Owned,Non-foil,false,,,"New","",16749,
"Gonti, Lord of Luxury",4,"Legendary Creature - Aetherborn Rogue",B,"kld","84",rare,b,Not Owned,Non-foil,false,,,"New","",61957,
"Inverter of Truth",4,"Creature - Eldrazi",B,"ogw","72",mythic,b,Owned,Non-foil,false,,,"","",59371,
"Ravenous Chupacabra",4,"Creature - Beast Horror",B,"rix","82",uncommon,b,Not Owned,Non-foil,false,,,"New","",66617,
"Yawgmoth, Thran Physician",4,"Legendary Creature - Human Cleric",B,"mh1","116",mythic,b,Owned,Non-foil,false,,,"","",72604,
"Doom Whisperer",5,"Creature - Nightmare Demon",B,"grn","69",mythic,b,Not Owned,Non-foil,false,,,"New","",69511,
"Shriekmaw",5,"Creature - Elemental",B,"c20","136",uncommon,b,Owned,Non-foil,false,,,"","",,
"Street Wraith",5,"Creature - Wraith",B,"fut","90",uncommon,b,Owned,Non-foil,false,,,"","",26894,
"Grave Titan",6,"Creature - Giant",B,"m11","97",mythic,b,Not Owned,Non-foil,false,,,"New","",37374,
"Massacre Wurm",6,"Creature - Wurm",B,"mbs","46",mythic,b,Owned,Non-foil,false,,,"","",39315,
"Griselbrand",8,"Legendary Creature - Demon",B,"avr","106",mythic,b,Not Owned,Non-foil,false,,,"New","",44125,
"Rune-Scarred Demon",7,"Creature - Demon",B,"m12","106",rare,b,Owned,Non-foil,false,,,"","",41385,
"Liliana of the Veil",3,"Legendary Planeswalker - Liliana",B,"isd","105",mythic,b,Not Owned,Non-foil,false,,,"New","",42616,
"Liliana, the Last Hope",3,"Legendary Planeswalker - Liliana",B,"emn","93",mythic,b,Not Owned,Non-foil,false,,,"New","",61152,
"Dark Ritual",1,"Instant",B,"leb","99",common,b,Not Owned,Non-foil,false,,,"New","",,
"Demonic Consultation",1,"Instant",B,"ice","121",uncommon,b,Owned,Non-foil,false,,,"","",,
"Entomb",1,"Instant",B,"ody","132",rare,b,Not Owned,Non-foil,false,,,"New","",17047,
"Fatal Push",1,"Instant",B,"aer","57",uncommon,b,Not Owned,Non-foil,false,,,"New","",62689,
"Vampiric Tutor",1,"Instant",B,"vis","72",rare,b,Not Owned,Non-foil,false,,,"New","",7777,
"Cabal Ritual",2,"Instant",B,"tor","51",common,b,Not Owned,Non-foil,false,,,"New","",17191,
"Go for the Throat",2,"Instant",B,"mbs","43",uncommon,b,Not Owned,Non-foil,false,,,"New","",39447,
"Heartless Act",2,"Instant",B,"iko","91",uncommon,b,Owned,Non-foil,false,,,"","",80191,
"Shallow Grave",2,"Instant",B,"mir","141",rare,b,Not Owned,Non-foil,false,,,"New","",7297,
"Corpse Dance",3,"Instant",B,"tmp","116",rare,b,Not Owned,Non-foil,false,,,"New","",9801,
"Dismember",3,"Instant",B,"nph","57",uncommon,b,Not Owned,Non-foil,false,,,"New","",39944,
"Hero's Downfall",3,"Instant",B,"ths","90",rare,b,Owned,Non-foil,false,,,"","",50596,
"Makeshift Mannequin",4,"Instant",B,"lrw","124",uncommon,b,Not Owned,Non-foil,false,,,"New","",28361,
"Bloodchief's Thirst",1,"Sorcery",B,"znr","94",uncommon,b,Owned,Non-foil,false,,,"","",83151,
"Duress",1,"Sorcery",B,"usg","132",common,b,Not Owned,Non-foil,false,,,"New","",12317,
"Imperial Seal",1,"Sorcery",B,"ptk","78",rare,b,Not Owned,Non-foil,false,,,"New","",,
